Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
,,Inquire Types,Insecta,Coleoptera,Pselaphidae,"Actium pallidum Casey, 1887",,,,,,,,United States,California,Monterey,Paraiso Hot Springs,,36.3312,-121.369,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,9/2/2009 12:19,http://n2t.net/ark:/65665/35bb617c7-da6d-43e1-97e8-a3edb9cf4111
,,Inquire Types,Insecta,Coleoptera,Pselaphidae,"Actium pallidum Casey, 1887",,,,,,,,United States,California,Monterey,Paraiso Hot Springs,,36.3312,-121.369,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,9/2/2009 12:32,http://n2t.net/ark:/65665/33fa425dd-cc70-4812-a6ce-223c06778737
,,Inquire Types,Insecta,Coleoptera,Pselaphidae,"Actium pallidum Casey, 1887",,,,,,,,United States,California,Monterey,Paraiso Hot Springs,,36.3312,-121.369,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,9/2/2009 12:32,http://n2t.net/ark:/65665/3e8f51453-3675-40c9-b50c-008a5fe6fe31
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium pallidum Casey, 1887",Type,Casey. 1887. Bulletin of the California Academy of Sciences. 2 (8): 473.,,1 Adult Male,Pinned,,,United States,California,Monterey,Paraiso Hot Springs,,36.3312,-121.369,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:44,http://n2t.net/ark:/65665/39d960cb8-f069-4bb1-a053-d21fedf703fb
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium politum Casey, 1887",Type,Casey. 1887. Bulletin of the California Academy of Sciences. 2 (8): 473.,,1 Adult Female,Slide,,,United States,California,[Not Stated],[Not Stated],,,,,[Not Stated],([Not Stated]),1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 19:08,http://n2t.net/ark:/65665/35b0afe1b-8e6b-4b4e-aaa6-a7e721bbe3a0
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium retractum Casey, 1908",Type,Casey. 1908. Canadian Entomologist. 40: 270.,,1 Adult Male,Slide,,,United States,Florida,Pinellas,St. Petersburg,,27.7731,-82.64,,[Not Stated],(9 March),1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:44,http://n2t.net/ark:/65665/31948cb10-69c5-494e-ba1f-1438ee3272a2
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium robustulum Casey, 1887",Type,Casey. 1887. Bulletin of the California Academy of Sciences. 2 (8): 474.,,1 Adult Male,Pinned,,,United States,California,Mendocino,Soda Springs; Anderson,,39.0242,-123.315,,[Not Stated],([Not Stated]),1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:56,http://n2t.net/ark:/65665/3fa9f4086-408b-48ca-b2c2-7681274420ea
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium testaceum Casey, 1887",Type,Casey. 1887. Bulletin of the California Academy of Sciences. 2 (8): 475.,,1 Adult Male,Slide,,,United States,California,[Not Stated],[Not Stated],,,,,[Not Stated],([Not Stated]),1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 19:08,http://n2t.net/ark:/65665/3886e204a-0aa1-4fa1-b946-830b5768f8e0
,,Inquire Types,Insecta,Diptera,Coelopidae,Actoceles georgiana Schaef.,Syntype,,,,,,,United States,Georgia,[Not Stated],South Georgia; Island,,,,,"Murphy, R. C.",([Not Stated]),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 20:17,http://n2t.net/ark:/65665/3bacc0f02-f162-44ee-b585-5ae7fd123455
,,Inquire Types,Insecta,Diptera,Ephydridae,"Actocetor completa Cresson, 1929",Holotype,1929. Transactions of the American Entomological Society. 55 (929): 173.,Trypetomima completa,1 Female,Pinned,,,United States,Guam,[Not Stated],[Not Stated],,13.5,144.8,,"Fulloway, D. T.",([Not Stated]),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 20:07,http://n2t.net/ark:/65665/3b2c52ef5-db7d-4c6d-a07b-01b921771b6d
